"portfolio","IR","top_1","top_5","top_10","top_20"
"baseline",3.00021129930325,0.00608,0.03157,0.06272,0.12489
"tangency ($\lambda$ = 0)",6.33877103972967,0.00059,0.00702,0.02397,0.07976
"tangency ($\lambda$ = 0.0001)",8.98075684699177,0.00426,0.03266,0.07564,0.1711
"tangency ($\lambda$ = 0.0003)",11.7975821759155,0.01638,0.07881,0.14881,0.26937
"tangency ($\lambda$ = 0.001)",18.4732945524865,0.07091,0.21319,0.32081,0.46839
