"portfolio","IR","top_1","top_5","top_10","top_20"
"baseline",3.01398926328766,0.00644,0.03098,0.06057,0.12098
"tangency ($\lambda$ = 0)",6.79044185715347,0.00086,0.00941,0.02787,0.08714
"tangency ($\lambda$ = 0.0001)",9.43667919271049,0.0054,0.03531,0.08083,0.17947
"tangency ($\lambda$ = 0.0003)",12.2510487018883,0.01815,0.08368,0.15667,0.28081
"tangency ($\lambda$ = 0.001)",19.0980608040873,0.07901,0.22709,0.33855,0.48502
