"portfolio","IR","beta","top_1","top_5","top_10","top_20"
"bootstrapped",-2.50850487633106,0.744276143637984,0.00578,0.02985,0.05956,0.12152
"rank opt. (q = 1)",-1.44376047824045,0.313146416666785,0.05884,0.16598,0.22125,0.28661
"rank opt. (q = 20)",-1.03229755284321,0.470836166666664,0.00654,0.04644,0.10997,0.27263
