"portfolio","IR","beta","top_1","top_5","top_10","top_20"
"baseline",3.00021129930325,0.535211267605033,0.00608,0.03157,0.06272,0.12489
"tangency ($\lambda$ = 0)",6.33877103972967,1,0.00059,0.00702,0.02397,0.07976
"tangency ($\lambda$ = 0.0003)",11.7975821759155,0.568949614967892,0.01638,0.07881,0.14881,0.26937
"rank opt. (q = 1)",-6.73507427501926,0.290927666666882,0.01986,0.06267,0.08876,0.12811
"rank opt. (q = 20)",-2.67035625442915,0.438470999999995,0.00477,0.02643,0.05765,0.14525
