"portfolio","IR","beta","top_1","top_5","top_10","top_20"
"baseline",3.20781539500184,0.535211267605033,0.00614,0.03167,0.06246,0.12445
"tangency ($\lambda$ = 0)",6.96912433231147,1,0.00113,0.01141,0.0319,0.09321
"tangency ($\lambda$ = 0.0003)",12.5463338710607,0.568949614967892,0.02094,0.09062,0.16342,0.28934
"rank opt. (q = 1)",-7.28917927799114,0.289697000000197,0.01771,0.0564,0.08167,0.11885
"rank opt. (q = 20)",-2.84358945537489,0.439415583333315,0.00464,0.02586,0.05701,0.14107
